Player,Vegas_overall,ESPN_overall,Overall_diff
Justin Fields,88,53,-35
Mike Williams,90,68,-22
Darren Waller,66,40,-26
Ja'Marr Chase,5,3,-2
Rachaad White,54,41,-13
DJ Moore,81,65,-16
Christian Watson,71,56,-15
Isiah Pacheco,64,49,-15
Justin Jefferson,2,1,-1
Deebo Samuel,55,52,-3
George Pickens,107,90,-17
Derrick Henry,13,9,-4
James Cook,56,48,-8
DK Metcalf,40,33,-7
Tee Higgins,41,34,-7
James Conner,44,38,-6
Brandin Cooks,87,79,-8
Cam Akers,50,44,-6
Drake London,79,74,-5
Cooper Kupp,3,4,1
J.K. Dobbins,69,64,-5
Dameon Pierce,42,37,-5
Lamar Jackson,46,35,-11
Jerry Jeudy,59,57,-2
Jahmyr Gibbs,35,29,-6
Mike Evans,60,62,2
Keenan Allen,48,50,2
Tony Pollard,18,14,-4
Kyle Pitts,74,67,-7
Chris Godwin,62,63,1
David Montgomery,49,51,2
Austin Ekeler,8,5,-3
Diontae Johnson,57,61,4
Jaxon Smith-Njigba,108,105,-3
DeAndre Hopkins,52,60,8
Alvin Kamara,43,46,3
Mark Andrews,28,23,-5
Kirk Cousins,91,83,-8
Tyreek Hill,6,6,0
D'Andre Swift,70,75,5
Patrick Mahomes,17,13,-4
Dalvin Cook,92,94,2
Terry McLaurin,61,69,8
Aaron Jones,26,22,-4
Travis Kelce,1,2,1
Deshaun Watson,72,71,-1
Alexander Mattison,38,43,5
Miles Sanders,33,39,6
CeeDee Lamb,14,16,2
Travis Etienne Jr.,27,25,-2
Dak Prescott,93,89,-4
Geno Smith,109,101,-8
Aaron Rodgers,111,108,-3
Calvin Ridley,51,66,15
Tyler Lockett,58,70,12
Joe Burrow,32,28,-4
Amari Cooper,47,58,11
George Kittle,53,59,6
DeVonta Smith,36,47,11
Christian Kirk,67,78,11
A.J. Brown,30,36,6
Treylon Burks,80,93,13
Khalil Herbert,84,91,7
Jakobi Meyers,86,98,12
Cole Kmet,95,96,1
Skyy Moore,98,110,12
Jordan Addison,102,112,10
Zach Ertz,106,103,-3
T.J. Hockenson,31,30,-1
Pat Freiermuth,76,80,4
Dallas Goedert,78,81,3
Rhamondre Stevenson,29,32,3
Stefon Diggs,12,15,3
Evan Engram,73,77,4
Michael Pittman Jr.,75,88,13
Garrett Wilson,19,20,1
Chris Olave,39,55,16
Nick Chubb,15,17,2
Joe Mixon,21,21,0
Russell Wilson,104,104,0
Bijan Robinson,9,10,1
Brian Robinson Jr.,82,95,13
Amon-Ra St. Brown,22,24,2
JuJu Smith-Schuster,89,109,20
Justin Herbert,65,72,7
Gabe Davis,103,113,10
AJ Dillon,63,76,13
Saquon Barkley,10,11,1
Najee Harris,23,26,3
Josh Allen,16,18,2
Christian McCaffrey,4,7,3
Jalen Hurts,25,27,2
Jaylen Waddle,24,31,7
Trevor Lawrence,68,87,19
