Player,Position,Vegas_pos_rank,ESPN_pos_rank,Rank_Diff,Vegas_points,ESPN_points,Point_Diff
Josh Allen,QB,1,2,1,371.8976784,364.5459663,7.4
Patrick Mahomes,QB,2,1,-1,368.2196239,374.0545261,-5.8
Jalen Hurts,QB,3,3,0,351.5469448,342.7651519,8.8
Joe Burrow,QB,4,4,0,338.4561671,339.5272014,-1.1
Lamar Jackson,QB,5,5,0,320.616648,332.7841642,-12.2
Justin Herbert,QB,6,8,2,304.1193098,300.2733844,3.8
Trevor Lawrence,QB,7,10,3,301.0466167,288.0305804,13
Deshaun Watson,QB,8,7,-1,296.8537835,300.8215093,-4
Justin Fields,QB,9,6,-3,285.5288448,317.3211593,-31.8
Kirk Cousins,QB,10,9,-1,283.6668602,290.2506597,-6.6
Dak Prescott,QB,11,11,0,283.0520083,285.9182031,-2.9
Russell Wilson,QB,12,13,1,278.1671626,275.3802253,2.8
Geno Smith,QB,13,12,-1,275.1284812,276.9421449,-1.8
Aaron Rodgers,QB,14,15,1,271.3729961,273.075479,-1.7
Daniel Jones,QB,15,14,-1,270.326226,275.0930081,-4.8
Tua Tagovailoa,QB,16,16,0,263.0651157,262.41978,0.6
Jared Goff,QB,17,17,0,255.7160067,249.2051959,6.5
Anthony Richardson,QB,18,18,0,249.1782911,248.757266,0.4
Derek Carr,QB,19,20,1,235.4873802,243.1534981,-7.7
