Player,Position,Vegas_pos_rank,ESPN_pos_rank,Rank_Diff,Vegas_points,ESPN_points,Point_Diff
Christian McCaffrey,RB,1,2,1,279.2397454,271.4771552,7.8
Austin Ekeler,RB,2,1,-1,266.2103931,275.4210088,-9.2
Bijan Robinson,RB,3,4,1,260.324391,257.498941,2.8
Saquon Barkley,RB,4,5,1,258.7389392,254.6346822,4.1
Derrick Henry,RB,6,3,-3,242.2727912,258.9221941,-16.6
Nick Chubb,RB,7,8,1,241.2464649,239.155692,2.1
Tony Pollard,RB,8,7,-1,234.6758851,245.3455157,-10.7
Joe Mixon,RB,10,10,0,228.8298948,226.6226864,2.2
Najee Harris,RB,11,13,2,223.6889559,216.4011521,7.3
Aaron Jones,RB,12,11,-1,219.7749271,225.0098528,-5.2
Travis Etienne Jr.,RB,13,12,-1,214.0146319,217.3073374,-3.3
Rhamondre Stevenson,RB,14,15,1,209.5336706,208.5223252,1
Miles Sanders,RB,15,18,3,201.1291029,204.699459,-3.6
Jahmyr Gibbs,RB,17,14,-3,199.5212001,211.2488956,-11.7
Alexander Mattison,RB,19,21,2,196.1142417,199.8695976,-3.8
Dameon Pierce,RB,20,16,-4,192.8031675,205.1816183,-12.4
Alvin Kamara,RB,21,24,3,190.7972126,197.5917864,-6.8
James Conner,RB,22,17,-5,189.7753136,205.093151,-15.3
David Montgomery,RB,24,27,3,184.9879308,194.2691396,-9.3
Cam Akers,RB,25,22,-3,184.7723155,199.7038531,-14.9
Rachaad White,RB,26,19,-7,178.9975408,204.251551,-25.3
James Cook,RB,27,25,-2,178.0637988,194.4571281,-16.4
AJ Dillon,RB,28,31,3,174.0834187,170.1549013,3.9
Isiah Pacheco,RB,29,26,-3,172.7285406,194.3953269,-21.7
J.K. Dobbins,RB,30,29,-1,168.5605094,181.3834652,-12.8
D'Andre Swift,RB,31,30,-1,165.7961587,171.6330851,-5.8
Brian Robinson Jr.,RB,33,35,2,158.2073247,155.1950881,3
Dalvin Cook,RB,35,34,-1,151.5132629,157.0202447,-5.5
