Player,Position,Vegas_pos_rank,ESPN_pos_rank,Rank_Diff,Vegas_points,ESPN_points,Point_Diff
Travis Kelce,TE,1,1,0,274.3996609,278.6787999,-4.3
Mark Andrews,TE,2,2,0,199.3432907,206.0214261,-6.7
T.J. Hockenson,TE,3,3,0,193.0728085,192.8352983,0.2
George Kittle,TE,4,5,1,165.4256773,166.2341171,-0.8
Darren Waller,TE,5,4,-1,157.7517759,186.1757181,-28.4
Evan Engram,TE,6,7,1,150.6496634,149.4353567,1.2
Kyle Pitts,TE,7,6,-1,150.18151,160.7921436,-10.6
Pat Freiermuth,TE,8,8,0,149.3600742,148.7658712,0.6
Dallas Goedert,TE,9,9,0,148.8600754,148.1192947,0.7
David Njoku,TE,10,11,1,136.9655928,139.2620323,-2.3
Tyler Higbee,TE,12,10,-2,135.7594075,143.5155661,-7.8
Dalton Schultz,TE,13,13,0,132.0131242,134.7723934,-2.8
Zach Ertz,TE,14,14,0,131.0781699,131.0781699,0
