Player,Position,Vegas_pos_rank,ESPN_pos_rank,Rank_Diff,Vegas_points,ESPN_points,Point_Diff
Justin Jefferson,WR,1,1,0,248.7046544,265.0594681,-16.4
Cooper Kupp,WR,2,3,1,245.1153995,252.2618332,-7.1
Ja'Marr Chase,WR,3,2,-1,241.1034793,263.4226569,-22.3
Tyreek Hill,WR,5,4,-1,237.5092475,242.5170173,-5
Stefon Diggs,WR,6,7,1,216.5061525,216.3764517,0.1
CeeDee Lamb,WR,7,6,-1,213.3331986,216.3897156,-3.1
Garrett Wilson,WR,8,8,0,210.6445422,210.2352117,0.4
Amon-Ra St. Brown,WR,9,9,0,198.3477378,195.3969831,3
Jaylen Waddle,WR,10,11,1,198.2374863,190.4331498,7.8
A.J. Brown,WR,11,10,-1,189.8676689,191.3221808,-1.5
DeVonta Smith,WR,12,15,3,178.5497897,179.8921966,-1.3
Tee Higgins,WR,13,13,0,176.7781414,187.9459562,-11.2
Chris Olave,WR,14,17,3,176.023715,175.3171285,0.7
DK Metcalf,WR,15,12,-3,175.0922486,189.7726942,-14.7
Amari Cooper,WR,16,19,3,171.330216,173.0720344,-1.7
Deebo Samuel,WR,17,14,-3,168.6122582,186.1788789,-17.6
Calvin Ridley,WR,18,25,7,166.4512452,166.5018967,-0.1
Keenan Allen,WR,19,20,1,163.4843264,172.9533297,-9.5
Jerry Jeudy,WR,20,18,-2,162.3967942,174.0459371,-11.6
Mike Evans,WR,21,22,1,162.0082077,169.3386065,-7.3
Tyler Lockett,WR,22,30,8,160.7041277,157.6773584,3
Terry McLaurin,WR,23,27,4,157.978353,162.3852882,-4.4
DeAndre Hopkins,WR,24,26,2,156.710104,163.5621147,-6.9
Diontae Johnson,WR,25,24,-1,155.5351739,166.8474225,-11.3
Christian Kirk,WR,26,33,7,153.7766894,154.631237,-0.9
Chris Godwin,WR,27,28,1,153.763615,160.858788,-7.1
Christian Watson,WR,28,16,-12,153.5424596,175.9611816,-22.4
Treylon Burks,WR,29,36,7,149.6374909,149.6374909,0
DJ Moore,WR,30,21,-9,147.1242411,171.6267749,-24.5
Michael Pittman Jr.,WR,31,38,7,146.5468174,144.2679606,2.3
Drake London,WR,32,31,-1,145.1518924,157.4242296,-12.3
Brandin Cooks,WR,33,32,-1,143.5404426,156.0743903,-12.5
Mike Williams,WR,34,23,-11,142.7223081,167.0899251,-24.4
Marquise Brown,WR,35,29,-6,142.0073196,158.462551,-16.5
Jordan Addison,WR,39,43,4,138.9658457,138.9658457,0
Michael Thomas,WR,40,45,5,138.7547918,137.2015322,1.6
Brandon Aiyuk,WR,41,34,-7,138.0387176,154.4138458,-16.4
George Pickens,WR,42,37,-5,136.1721114,148.6356699,-12.5
Jaxon Smith-Njigba,WR,43,40,-3,134.9655748,141.1587499,-6.2
Rondale Moore,WR,46,47,1,132.8508415,132.8508415,0
Courtland Sutton,WR,48,35,-13,125.2719354,154.1731642,-28.9
Tyler Boyd,WR,49,55,6,124.4258212,120.9419874,3.5
Allen Lazard,WR,50,57,7,122.8935609,116.128723,6.8
Jahan Dotson,WR,51,39,-12,122.6964115,142.4338247,-19.7
DJ Chark Jr.,WR,53,52,-1,114.1900159,127.3668512,-13.2
Quentin Johnston,WR,54,51,-3,113.8234395,127.7423119,-13.9
Michael Gallup,WR,56,48,-8,112.1965033,131.701779,-19.5
Van Jefferson,WR,59,66,7,110.1070856,103.7232653,6.4
Adam Thielen,WR,60,58,-2,109.1610645,115.2974523,-6.1
Elijah Moore,WR,62,56,-6,107.5426704,117.9583874,-10.4
Odell Beckham Jr.,WR,63,53,-10,106.1743081,125.351435,-19.2
